Year,SUM of transaction_amount
,$0.00
2024,$259.00
2025,$789.00
2024,$464.00
2024,$350.00
2024,$376.00
2024,$324.00
2024,$78.00
2024,$471.00
2024,$185.00
2024,$494.00
2024,$413.00
2024,$222.00
2024,$372.00
2024,$190.00
2024,$269.00
2024,$414.00
2024,$432.00
2024,$68.00
2024,$341.00
2024,$605.00
2024,$107.00
2024,$140.00
2024,$181.00
2024,$370.00
2025,$395.00
2025,$251.00
2025,$291.00
2025,$301.00
2025,$216.00
2025,$119.00
2025,$243.00
2025,$231.00
2025,$388.00
2025,$266.00
Grand Total,"$10,615.00"